team,payroll_musd,source
NYK,230.20,basketball-reference.com/contracts 2026-09-24
GSW,224.66,basketball-reference.com/contracts 2026-09-24
ORL,223.29,basketball-reference.com/contracts 2026-09-24
DEN,221.07,basketball-reference.com/contracts 2026-09-24
PHX,216.23,basketball-reference.com/contracts 2026-09-24
OKC,216.16,basketball-reference.com/contracts 2026-09-24
MIN,215.33,basketball-reference.com/contracts 2026-09-24
PHI,213.17,basketball-reference.com/contracts 2026-09-24
MIA,210.48,basketball-reference.com/contracts 2026-09-24
CLE,208.97,basketball-reference.com/contracts 2026-09-24
IND,206.43,basketball-reference.com/contracts 2026-09-24
HOU,205.49,basketball-reference.com/contracts 2026-09-24
TOR,205.08,basketball-reference.com/contracts 2026-09-24
NOP,204.26,basketball-reference.com/contracts 2026-09-24
LAL,204.05,basketball-reference.com/contracts 2026-09-24
BOS,203.89,basketball-reference.com/contracts 2026-09-24
SAS,199.67,basketball-reference.com/contracts 2026-09-24
ATL,198.50,basketball-reference.com/contracts 2026-09-24
DAL,197.87,basketball-reference.com/contracts 2026-09-24
POR,194.51,basketball-reference.com/contracts 2026-09-24
MIL,193.81,basketball-reference.com/contracts 2026-09-24
LAC,193.69,basketball-reference.com/contracts 2026-09-24
WAS,192.82,basketball-reference.com/contracts 2026-09-24
SAC,191.80,basketball-reference.com/contracts 2026-09-24
UTA,181.86,basketball-reference.com/contracts 2026-09-24
CHA,173.35,basketball-reference.com/contracts 2026-09-24
CHI,161.55,basketball-reference.com/contracts 2026-09-24
BKN,161.46,basketball-reference.com/contracts 2026-09-24
MEM,161.08,basketball-reference.com/contracts 2026-09-24
DET,153.16,basketball-reference.com/contracts 2026-09-24
